Time	roll	pitch	yaw	lat	lon	alt
1	-3.74	1.76	139.71	33.0301	-112.0386	0
2	-4.71	2.46	161.6	33.03	-112.0386	0
3	-1.51	3.88	-77.8	33.03	-112.0386	0
4	-5.6	2.37	-26.95	33.0299	-112.0387	0
5	-5.93	-0.66	6.46	33.0298	-112.0387	0
6	-5.09	-3.23	65.44	33.0298	-112.0387	0
7	-3.05	-1.09	108.03	33.0297	-112.0387	0
8	-3.68	-2.38	104.53	33.0297	-112.0387	0
9	-3.7	-0.87	-174.62	33.0297	-112.0387	0
10	-0.44	0.22	19.07	33.0297	-112.0387	0
11	-1.52	0.22	74.83	33.0297	-112.0388	0
12	-4.06	3.2	93.25	33.0296	-112.0388	0
13	-5.02	1.09	132.66	33.0296	-112.0388	0
14	-3.02	-0.22	143.01	33.0296	-112.0389	0
15	-5.25	-1.53	92.99	33.0294	-112.039	0
16	-3.99	-1.33	112.31	33.0293	-112.0391	0
17	-5.82	0.86	116.23	33.0292	-112.0391	0
18	-5.39	-0.43	168.19	33.0292	-112.0391	0
19	-10.93	0	-115.25	33.0291	-112.0391	0
20	-7.67	1.75	-63.49	33.0291	-112.039	0
21	-0.86	-0.65	-1.23	33.029	-112.039	0
22	-2.62	-0.87	63.28	33.0289	-112.039	0
23	-5.06	1.54	96.04	33.0289	-112.0391	0
24	-5.09	0	125.47	33.0289	-112.0391	0
25	-2.78	0.43	-88.77	33.0288	-112.0391	0
26	-2.62	3.06	39.42	33.0288	-112.0391	0
27	-2.83	1.74	0	33.0288	-112.0391	0
28	-5.51	0.88	-135.91	33.0286	-112.0392	0
29	-3.52	-0.22	-31.67	33.0286	-112.0392	0
30	-2.19	-5.47	13.95	33.0285	-112.0392	0
31	-5.07	-4.4	47.38	33.0284	-112.0392	0
32	-5.73	-0.22	83.45	33.0284	-112.0392	0
33	-4.75	-2.37	104.41	33.0283	-112.0391	0
34	-3.52	-3.73	122.86	33.0283	-112.0391	0
35	-5.07	-2.42	179.06	33.0283	-112.0391	0
36	-5.49	-3.29	-89.6	33.0283	-112.039	0
37	-3.04	-2.6	-46.04	33.0282	-112.039	0
38	-2.35	-2.35	-17.71	33.0282	-112.039	0
39	-2.82	0.43	20.9	33.0282	-112.039	0
40	-4.84	0	80.57	33.0281	-112.0391	0
41	-3.55	0	85.74	33.0281	-112.0391	0
42	-4.38	0	81.75	33.028	-112.0391	0
43	-3.06	-1.31	66.89	33.0279	-112.039	0
44	-3.52	-2.42	61.4	33.0279	-112.039	0
45	-1.1	-3.52	83.55	33.0278	-112.039	0
46	-3.26	0	145.87	33.0278	-112.039	0
47	-2.61	1.09	-148.95	33.0277	-112.039	0
48	-4.65	0.89	-90.32	33.0277	-112.0389	0
49	-2.86	-0.44	-46.13	33.0276	-112.0389	0
50	-3.3	1.76	-18.69	33.0276	-112.0389	0
51	-5.69	1.53	-0.26	33.0276	-112.0388	0
52	-5.06	2.85	38.1	33.0276	-112.0388	0
53	-5.39	1.94	83.98	33.0275	-112.0388	0
54	-5.43	0.65	134.49	33.0275	-112.0388	0
55	-4.09	-0.43	-178.88	33.0274	-112.0388	0
56	-2.59	4.74	-159.02	33.0274	-112.0388	0
57	-9	3.93	-119.74	33.0273	-112.0388	0
58	-8.22	7.05	-101.43	33.0272	-112.0388	0
59	-1.1	0	-46.79	33.0271	-112.0388	0
60	-4.26	-1.57	-2.92	33.0271	-112.0388	0
61	-3.38	0.45	40.84	33.027	-112.0387	0
62	-4.31	0.23	73.77	33.0269	-112.0387	0
63	-4.02	-3.57	65.99	33.0269	-112.0387	0
64	0.64	1.93	52.93	33.0269	-112.0387	0
65	-2.62	1.75	68.73	33.0268	-112.0387	0
66	-4.46	1.27	97.68	33.0268	-112.0386	0
67	-2.17	0.43	101.5	33.0268	-112.0386	0
68	-2.33	0.64	113.48	33.0267	-112.0386	0
69	-3.63	0.21	-171.47	33.0267	-112.0387	0
70	-4.98	0	-45.98	33.0266	-112.0387	0
71	-8.7	0	-25.59	33.0265	-112.0387	0
72	-3.8	0.67	-5.08	33.0264	-112.0387	0
73	-1.08	0.65	12.09	33.0263	-112.0387	0
74	-5.69	0.66	-7.48	33.0263	-112.0387	0
75	-7.67	0.66	-29.54	33.0262	-112.0386	0
76	-5.56	4.43	-47.78	33.0261	-112.0386	0
77	-3.29	0.22	-20.88	33.026	-112.0386	0
78	-5.21	1.52	11.1	33.0259	-112.0386	0
79	-0.43	-0.65	-23.33	33.0259	-112.0385	0
80	-2.02	0.45	-116.84	33.0258	-112.0385	0
81	-3.19	-1.37	-164.82	33.0257	-112.0385	0
82	-6.98	1.16	131.83	33.0256	-112.0385	0
83	-6.18	-1.48	122.65	33.0254	-112.0384	11195.6
84	-4.73	-0.9	132	33.0253	-112.0383	11195.6
85	-4.3	-2.36	68.77	33.0252	-112.0383	11195.6
86	-1.47	-3.56	-16.16	33.0251	-112.0383	11195.6
87	-0.83	-1.25	-113.58	33.025	-112.0382	11195.6
88	-3.97	-2.5	-178.56	33.0249	-112.0382	11195.6
89	-4.37	0.42	-152.34	33.0248	-112.0382	11195.6
90	-5.29	0.63	-74.73	33.0247	-112.0382	11195.6
91	-6.1	1.3	-71.04	33.0246	-112.0382	11195.6
92	-9.29	4.72	-89.07	33.0245	-112.0381	11195.6
93	-5.73	-0.42	-134.87	33.0245	-112.0381	11195.6
94	-1.13	0.68	122.96	33.0244	-112.0381	11195.6
95	-3.12	1.11	102.43	33.0244	-112.0381	11195.6
96	-2.95	2.95	119.53	33.0243	-112.0381	11195.6
97	-6.21	1.15	78.72	33.0243	-112.0381	11195.6
98	-3.23	0	34.82	33.0242	-112.0381	11319.1
99	-5.15	3.58	-8.29	33.0241	-112.0381	11319.1
100	-4.38	-0.66	-36.69	33.0241	-112.0381	11319.1
101	-4.59	-1.88	-144.53	33.024	-112.0381	11319.1
102	-1.49	-0.64	159.99	33.024	-112.0382	11319.1
103	-2.97	4.02	148.27	33.0239	-112.0382	11319.1
104	-3.98	1.26	131.02	33.0239	-112.0382	11319.1
105	-2.12	1.7	71.74	33.0238	-112.0382	11319.1
106	-5.94	-1.06	40.66	33.0237	-112.0383	11319.1
107	-3.71	-1.09	41.27	33.0236	-112.0383	11319.1
108	-2.87	0.66	52.55	33.0235	-112.0383	11319.1
109	-5.28	0	109.95	33.0234	-112.0383	11319.1
110	-1.76	3.72	-135.65	33.0234	-112.0383	11319.1
111	-4.51	2.58	-66.48	33.0233	-112.0382	11319.1
112	-5.78	2	4.16	33.0232	-112.0382	11319.1
113	-6.29	-2.3	162.58	33.023	-112.0382	11319.1
114	-7.64	-2.67	-95.04	33.023	-112.0382	11319.1
115	-2.41	-2.41	3.56	33.023	-112.0382	11319.1
116	-1.3	-1.51	41.13	33.0229	-112.0382	11319.1
117	-1.95	0	70.78	33.0229	-112.0382	11319.1
118	-3.09	-0.44	164.72	33.0228	-112.0382	11319.1
119	-1.13	1.13	-80.85	33.0227	-112.0382	11319.1
120	-6.75	-1.09	11.54	33.0227	-112.0383	11319.1
121	-2.58	0.65	94.33	33.0226	-112.0383	11319.1
122	-1.97	0.44	-153.83	33.0226	-112.0383	11319.1
123	-2.28	-2.96	-56.68	33.0225	-112.0383	11319.1
